;TRUE;Estimate;S.E.;t(b);LL
b_t;-2,0;-2,06225665876956;0,148344620830567;0,419675876489428;0
b_c;-0,5;-0,540905585313224;0,0286925170478603;1,42565342890593;0
alpha;0,6;0,637922697083739;0,0265404500796115;-1,42886412890456;0
ASC_A;-0,5;-0,24600697642506;0,140913975578947;-1,802468651753;0
ASC_B;-0,5;-0,132351626088886;0,131522494304263;-2,79532695799244;0
ASC_D;-1;-1,00417288084565;0,177129775636723;0,0235583251356237;0
Wc;0,3;0,311737220423372;0,0177400005221272;-0,66162458161893;0
delta;0,05;0,0511260442265281;0,00134860332828233;-0,834970671444437;0
mu1;0,1;0,135915420227699;0,038321138420677;-0,937222162698592;0
mu2;0,1;0,136385287731441;0,0399159324624003;-0,911547983144699;20432,3342206605
