;TRUE;Estimate;S.E.;t(b);LL
b_t;-2,0;-1,96652015617986;0,130206755826668;-0,257128315712808;0
b_c;-0,5;-0,526037620676958;0,0244235394010231;1,06608711577108;0
alpha;0,6;0,611121935497404;0,0248568377260269;-0,447439679173612;0
ASC_A;-0,5;-0,317469828981254;0,151088562302805;-1,20810052221509;0
ASC_B;-0,5;-0,411155393398342;0,147209135057851;-0,603526449406441;0
ASC_D;-1,0;-0,771770329772362;0,170402514340306;-1,33935623609313;0
Wc;0,3;0,299936439509792;0,0176838352826456;0,00359427065408014;0
delta;0,05;0,0491175123617945;0,000713310235249571;1,23717226333748;0
mu1;0,1;0,0858132478325622;0,00814041647316633;1,74275508067705;0
mu2;0,1;0,0847740048179532;0,00797138419600359;1,91008171324627;20544,9710734099
