;TRUE;Estimate;S.E.;t(b);LL
b_t;-2,0;-1,94436990559287;0,12486188617499;-0,445533029423936;0
b_c;-0,5;-0,494680466719222;0,0233354822510013;-0,227959003527761;0
alpha;0,6;0,581348125339152;0,0260803917629337;0,715168500166345;0
ASC_A;-0,5;-0,559371582145288;0,160077843853084;0,370891940547238;0
ASC_B;-0,5;-0,571215885586377;0,155886720144931;0,45684382556876;0
ASC_D;-1,0;-0,854488055921742;0,181957839797361;-0,79970142666185;0
Wc;0,3;0,282574711979428;0,0177105387951097;0,983893726902512;0
delta;0,05;0,0492965011887533;0,000712144314639627;0,987859899720885;0
mu1;0,1;0,1668106435444;0,105893553933008;-0,630922667744882;0
mu2;0,1;0,163637912357442;0,102284795132549;-0,622163951885271;20585,3221924923
