;TRUE;Estimate;S.E.;t(b);LL
b_t;-2,0;-2,18079771438431;0,132977286826863;1,35961350015894;0
b_c;-0,5;-0,495257223500063;0,0219020597994128;-0,216544769915392;0
alpha;0,6;0,57373668373921;0,0255843416956155;1,02653867640029;0
ASC_A;-0,5;-0,312492030767704;0,167308334466831;-1,12073298577645;0
ASC_B;-0,5;-0,377330111357321;0,16151257640071;-0,75950672929851;0
ASC_D;-1,0;-0,998673153417693;0,203490355274592;-0,0065204396567913;0
Wc;0,3;0,318966300071673;0,0176635256708215;-1,07375506029374;0
delta;0,05;0,04906498628656;0,000885178037885277;1,05630017174148;0
mu1;0,1;0,158241206422036;0,0711441423875235;-0,818636706656678;0
mu2;0,1;0,157549918295478;0,0714258017650362;-0,805730098554517;20521,5435218542
