;TRUE;Estimate;S.E.;t(b);LL
b_t;-2,0;-2,25786408071091;0,168074307705975;-1,53422664195656;0
b_c;-0,5;-0,545577230730542;0,0296884418595366;-1,53518433019081;0
alpha;0,6;0,65362561397941;0,0271414792711769;1,97578081296248;0
ASC_A;-0,5;-0,193292959405051;0,140124581076572;2,18881682456091;0
ASC_B;-0,5;-0,373142796553184;0,136574875283609;0,928847294814556;0
ASC_D;-1,0;-0,684096817824765;0,158380806376908;1,99457995827766;0
Wc;0,3;0,282793779760795;0,0176405919923066;-0,975376577311545;0
delta;0,05;0,0500551290294256;0,00138811912815917;0,0397149122919572;0
mu1;0,1;0,0844288122690249;0,0126638766682868;-1,22957512449319;0
mu2;0,1;0,0843746169981252;0,0136922117438577;-1,14118765427976;20581,5789504703
