;TRUE;Estimate;S.E.;t(b);LL
b_t;-2;-2,19734992911139;0,134772398928553;1,46432007354867;0
b_c;-0,5;-0,559973915409978;0,0252542621472714;2,37480370878537;0
alpha;0,6;0,60594811859052;0,023524783771009;-0,252844772067585;0
ASC_A;-1;-0,434978262176918;0,152481431425788;-3,70551176323443;0
ASC_B;-0,5;-0,493145856428065;0,146703458919317;-0,0467210768064071;0
ASC_D;-0,5;-1,03182158093393;0,177406156901018;2,99776281851737;0
Wc;0,3;0,286425367947608;0,0177377838086396;0,765294706420999;0
delta;0,05;0,0503344934741108;0,000790624961528602;-0,423074770450059;0
mu1;0,1;0,144287701242042;0,0628478781100568;-0,704680930746573;0
mu2;0,1;0,142250153960616;0,061725123183493;-0,684488775097574;20353,4036837752
