;TRUE;Estimate;S.E.;t(b);LL
b_t;-2,0;-1,8488551444795;0,123438873863599;-1,22445102413618;0
b_c;-0,5;-0,492349160145543;0,0235720727830004;-0,324572214114942;0
alpha;0,6;0,583660457732194;0,0272621976345876;0,599347950110815;0
ASC_A;-1;-0,601663577576565;0,159161358905793;-2,5027206676415;0
ASC_B;-0,5;-0,748340727724841;0,159193504203633;1,55999284623558;0
ASC_D;-0,5;-0,962524532376288;0,185628138614227;2,4916725224375;0
Wc;0,3;0,300950391621652;0,0176770904601522;-0,0537640299909297;0
delta;0,05;0,0488968569255447;0,000704148171649608;1,56663486304447;0
mu1;0,1;0,0815822390355473;0,00667885154704979;2,75762394697757;0
mu2;0,1;0,080574234774061;0,00642865199496818;3,02174783160512;20603,2349375493
