;TRUE;Estimate;S.E.;t(b);LL
b_t;-2,0;-1,70220705975701;0,119152863477495;-2,49925122696892;0
b_c;-0,5;-0,463642888641815;0,0215346929175619;-1,68830414705079;0
alpha;0,6;0,573091400423336;0,0275158190060781;0,977931987803817;0
ASC_A;-0,5;-0,596711718895519;0,162638711739792;0,59464144705136;0
ASC_B;-0,5;-0,708038816577078;0,15887776004907;1,30942692364762;0
ASC_D;-1,0;-1,09019005992842;0,188501758845541;0,478457392019997;0
Wc;0,3;0,303331104428586;0,0177833501407873;-0,187315910793765;0
delta;0,05;0,049921069797096;0,000757693211044032;0,104171717198365;0
mu1;0,1;0,128885887988998;0,0434056882484561;-0,665486233593484;0
mu2;0,1;0,127776389493432;0,0430640903004564;-0,645001190078259;20548,4827075594
