;TRUE;Estimate;S.E.;t(b);LL
b_t;-2,0;-2,0523629389606;0,127707872617342;0,410021229603424;0
b_c;-0,5;-0,506212194443789;0,0234304370963714;0,265133527737349;0
alpha;0,6;0,59410753504465;0,0251759651924807;0,234051203610255;0
ASC_A;-0,5;-0,631195747801056;0,167060623597513;0,785318197525327;0
ASC_B;-0,5;-0,479675145972971;0,150534432906226;-0,135017973194812;0
ASC_D;-1,0;-1,02620646910547;0,184595026514336;0,141967362828352;0
Wc;0,3;0,290212993867593;0,0177031953113615;0,552838397830132;0
delta;0,05;0,0519079498241985;0,00165403343710979;-1,15351345468106;0
mu1;0,1;0,135645814061954;0,0298461628477521;-1,19431815217877;0
mu2;0,1;0,137955053841157;0,0322534253662167;-1,17677590551087;20431,4535358013
